order_item_id,order_id,product_id,quantity,unit_price,discount_amount,source_system,created_at,updated_at
ITM00012718,ORD005001,PRD000343,0,6980000.00,0.00,ecommerce_api,2026-07-01T18:57:00+07:00,2026-07-01T18:57:00+07:00
ITM00012719,ORD005001,PRD999999,1,5460000.00,0.00,ecommerce_api,2026-07-01T18:57:00+07:00,2026-07-01T18:57:00+07:00
ITM00012720,ORD005001,PRD000093,1,7070000.00,-1,ecommerce_api,2026-07-01T18:57:00+07:00,2026-07-01T18:57:00+07:00
ITM00012721,ORD999999,PRD000326,1,5750000.00,575000.00,ecommerce_api,2026-07-01T20:47:00+07:00,2026-07-01T20:47:00+07:00
ITM00012722,ORD005002,PRD000012,1,2130000.00,213000.00,ecommerce_api,2026-07-01T20:47:00+07:00,2026-07-01T20:47:00+07:00
ITM00012723,ORD005003,PRD000179,1,4410000.00,441000.00,ecommerce_api,2026-07-01T14:44:00+07:00,2026-07-01T14:44:00+07:00
ITM00012724,ORD005003,PRD000289,1,3910000.00,0.00,ecommerce_api,2026-07-01T14:44:00+07:00,2026-07-01T14:44:00+07:00
ITM00012725,ORD005003,PRD000467,1,6530000.00,326500.00,ecommerce_api,2026-07-01T14:44:00+07:00,2026-07-01T14:44:00+07:00
ITM00012726,ORD005004,PRD000114,2,6180000.00,1236000.00,ecommerce_api,2026-07-01T18:51:00+07:00,2026-07-01T18:51:00+07:00
ITM00012727,ORD005004,PRD000323,1,5630000.00,563000.00,ecommerce_api,2026-07-01T18:51:00+07:00,2026-07-01T18:51:00+07:00
ITM00012728,ORD005004,PRD000359,1,5480000.00,0.00,ecommerce_api,2026-07-01T18:51:00+07:00,2026-07-01T18:51:00+07:00
ITM00012729,ORD005005,PRD000075,1,5480000.00,548000.00,ecommerce_api,2026-07-01T08:59:00+07:00,2026-07-01T08:59:00+07:00
ITM00012730,ORD005005,PRD000136,2,4120000.00,0.00,ecommerce_api,2026-07-01T08:59:00+07:00,2026-07-01T08:59:00+07:00
ITM00012731,ORD005006,PRD000063,1,7100000.00,0.00,ecommerce_api,2026-07-01T15:05:00+07:00,2026-07-01T15:05:00+07:00
ITM00012732,ORD005006,PRD000297,1,7950000.00,0.00,ecommerce_api,2026-07-01T15:05:00+07:00,2026-07-01T15:05:00+07:00
ITM00012733,ORD005007,PRD000131,1,5310000.00,0.00,ecommerce_api,2026-07-01T08:20:00+07:00,2026-07-01T08:20:00+07:00
ITM00012734,ORD005007,PRD000006,1,2320000.00,116000.00,ecommerce_api,2026-07-01T08:20:00+07:00,2026-07-01T08:20:00+07:00
ITM00012735,ORD005007,PRD000247,2,5400000.00,540000.00,ecommerce_api,2026-07-01T08:20:00+07:00,2026-07-01T08:20:00+07:00
ITM00012736,ORD005008,PRD000225,2,5090000.00,1018000.00,ecommerce_api,2026-07-01T17:39:00+07:00,2026-07-01T17:39:00+07:00
ITM00012737,ORD005008,PRD000194,1,6220000.00,622000.00,ecommerce_api,2026-07-01T17:39:00+07:00,2026-07-01T17:39:00+07:00
ITM00012738,ORD005009,PRD000503,1,3500000.00,0.00,ecommerce_api,2026-07-01T12:32:00+07:00,2026-07-01T12:32:00+07:00
ITM00012739,ORD005009,PRD000394,1,1510000.00,0.00,ecommerce_api,2026-07-01T12:32:00+07:00,2026-07-01T12:32:00+07:00
ITM00012740,ORD005010,PRD000374,1,760000.00,38000.00,ecommerce_api,2026-07-01T08:44:00+07:00,2026-07-01T08:44:00+07:00
ITM00012741,ORD005011,PRD000455,1,3730000.00,0.00,ecommerce_api,2026-07-01T12:38:00+07:00,2026-07-01T12:38:00+07:00
ITM00012742,ORD005012,PRD000017,1,4240000.00,424000.00,ecommerce_api,2026-07-01T22:43:00+07:00,2026-07-01T22:43:00+07:00
ITM00012743,ORD005012,PRD000281,2,7210000.00,721000.00,ecommerce_api,2026-07-01T22:43:00+07:00,2026-07-01T22:43:00+07:00
ITM00012744,ORD005013,PRD000030,1,1340000.00,134000.00,ecommerce_api,2026-07-01T10:25:00+07:00,2026-07-01T10:25:00+07:00
ITM00012745,ORD005013,PRD000474,1,1280000.00,0.00,ecommerce_api,2026-07-01T10:25:00+07:00,2026-07-01T10:25:00+07:00
ITM00012746,ORD005013,PRD000217,1,4790000.00,239500.00,ecommerce_api,2026-07-01T10:25:00+07:00,2026-07-01T10:25:00+07:00
ITM00012747,ORD005014,PRD000297,1,7950000.00,795000.00,ecommerce_api,2026-07-01T18:50:00+07:00,2026-07-01T18:50:00+07:00
ITM00012748,ORD005015,PRD000147,1,6710000.00,671000.00,ecommerce_api,2026-07-01T18:22:00+07:00,2026-07-01T18:22:00+07:00
ITM00012749,ORD005015,PRD000189,2,610000.00,122000.00,ecommerce_api,2026-07-01T18:22:00+07:00,2026-07-01T18:22:00+07:00
ITM00012750,ORD005016,PRD000441,1,1440000.00,144000.00,ecommerce_api,2026-07-01T15:45:00+07:00,2026-07-01T15:45:00+07:00
ITM00012751,ORD005016,PRD000273,1,1830000.00,0.00,ecommerce_api,2026-07-01T15:45:00+07:00,2026-07-01T15:45:00+07:00
ITM00012752,ORD005016,PRD000192,1,470000.00,23500.00,ecommerce_api,2026-07-01T15:45:00+07:00,2026-07-01T15:45:00+07:00
ITM00012753,ORD005016,PRD000202,1,5600000.00,280000.00,ecommerce_api,2026-07-01T15:45:00+07:00,2026-07-01T15:45:00+07:00
ITM00012754,ORD005017,PRD000292,1,1750000.00,87500.00,ecommerce_api,2026-07-01T19:55:00+07:00,2026-07-01T19:55:00+07:00
ITM00012755,ORD005018,PRD000054,1,5460000.00,0.00,ecommerce_api,2026-07-01T15:07:00+07:00,2026-07-01T15:07:00+07:00
ITM00012756,ORD005018,PRD000511,1,150000.00,0.00,ecommerce_api,2026-07-01T15:07:00+07:00,2026-07-01T15:07:00+07:00
ITM00012757,ORD005019,PRD000098,1,4550000.00,227500.00,ecommerce_api,2026-07-01T20:49:00+07:00,2026-07-01T20:49:00+07:00
ITM00012758,ORD005019,PRD000120,2,730000.00,0.00,ecommerce_api,2026-07-01T20:49:00+07:00,2026-07-01T20:49:00+07:00
ITM00012759,ORD005019,PRD000035,1,1900000.00,0.00,ecommerce_api,2026-07-01T20:49:00+07:00,2026-07-01T20:49:00+07:00
ITM00012760,ORD005020,PRD000173,1,7850000.00,785000.00,ecommerce_api,2026-07-01T19:33:00+07:00,2026-07-01T19:33:00+07:00
ITM00012761,ORD005020,PRD000366,1,2930000.00,0.00,ecommerce_api,2026-07-01T19:33:00+07:00,2026-07-01T19:33:00+07:00
ITM00012762,ORD005020,PRD000297,2,7950000.00,0.00,ecommerce_api,2026-07-01T19:33:00+07:00,2026-07-01T19:33:00+07:00
ITM00012763,ORD005021,PRD000363,2,4330000.00,866000.00,ecommerce_api,2026-07-01T22:28:00+07:00,2026-07-01T22:28:00+07:00
ITM00012764,ORD005022,PRD000031,1,2510000.00,0.00,ecommerce_api,2026-07-01T11:28:00+07:00,2026-07-01T11:28:00+07:00
ITM00012765,ORD005023,PRD000248,1,3240000.00,0.00,ecommerce_api,2026-07-01T08:47:00+07:00,2026-07-01T08:47:00+07:00
ITM00012766,ORD005023,PRD000113,1,4290000.00,0.00,ecommerce_api,2026-07-01T08:47:00+07:00,2026-07-01T08:47:00+07:00
ITM00012767,ORD005023,PRD000198,1,1090000.00,54500.00,ecommerce_api,2026-07-01T08:47:00+07:00,2026-07-01T08:47:00+07:00
ITM00012768,ORD005024,PRD000518,2,430000.00,86000.00,ecommerce_api,2026-07-01T22:23:00+07:00,2026-07-01T22:23:00+07:00
ITM00012769,ORD005024,PRD000189,2,610000.00,0.00,ecommerce_api,2026-07-01T22:23:00+07:00,2026-07-01T22:23:00+07:00
ITM00012770,ORD005024,PRD000120,2,730000.00,146000.00,ecommerce_api,2026-07-01T22:23:00+07:00,2026-07-01T22:23:00+07:00
ITM00012771,ORD005025,PRD000377,1,2310000.00,0.00,ecommerce_api,2026-07-01T08:21:00+07:00,2026-07-01T08:21:00+07:00
ITM00012772,ORD005025,PRD000351,2,5360000.00,1072000.00,ecommerce_api,2026-07-01T08:21:00+07:00,2026-07-01T08:21:00+07:00
