order_id,customer_id,order_date,status,shipping_city,channel,order_total,source_system,created_at,updated_at
ORD005001,CUS999999,2026-07-01T18:57:00+07:00,completed,Bac Ninh,mobile_app,19156500.00,ecommerce_api,2026-07-01T18:57:00+07:00,2026-07-01T20:41:00+07:00
ORD005002,CUS000635,2026-07-01T20:47:00+07:00,done,Vinh,web,7092000.00,ecommerce_api,2026-07-01T20:47:00+07:00,2026-07-01T21:22:00+07:00
ORD005004,CUS000217,2026-07-01T14:44:00+07:00,completed,Quang Ninh,social,14082500.00,ecommerce_api,2026-07-01T14:44:00+07:00,2026-07-01T16:26:00+07:00
ORD005004,CUS000948,2026-07-01T18:51:00+07:00,confirmed,Hai Phong,social,21671000.00,ecommerce_api,2026-07-01T18:51:00+07:00,2026-07-01T20:12:00+07:00
ORD005005,CUS000522,bad-date,completed,Hue,mobile_app,13172000.00,ecommerce_api,2026-07-01T08:59:00+07:00,2026-07-01T11:10:00+07:00
ORD005006,CUS000313,2026-07-01T15:05:00+07:00,completed,Can Tho,web,15050000.00,ecommerce_api,2026-07-01T15:05:00+07:00,2026-07-01T15:51:00+07:00
ORD005007,CUS000058,2026-07-01T08:20:00+07:00,shipped,Ho Chi Minh City,social,17774000.00,ecommerce_api,2026-07-01T08:20:00+07:00,2026-07-01T09:16:00+07:00
ORD005008,CUS000532,2026-07-01T17:39:00+07:00,completed,Vinh,social,14760000.00,ecommerce_api,2026-07-01T17:39:00+07:00,2026-07-01T17:52:00+07:00
ORD005009,CUS000461,2026-07-01T12:32:00+07:00,completed,Da Nang,mobile_app,5010000.00,ecommerce_api,2026-07-01T12:32:00+07:00,2026-07-01T15:14:00+07:00
ORD005010,CUS000427,2026-07-01T08:44:00+07:00,confirmed,Da Nang,social,722000.00,ecommerce_api,2026-07-01T08:44:00+07:00,2026-07-01T10:30:00+07:00
ORD005011,CUS000013,2026-07-01T12:38:00+07:00,completed,Da Nang,social,3730000.00,ecommerce_api,2026-07-01T12:38:00+07:00,2026-07-01T13:53:00+07:00
ORD005012,CUS000653,2026-07-01T22:43:00+07:00,completed,Can Tho,social,17515000.00,ecommerce_api,2026-07-01T22:43:00+07:00,2026-07-01T22:58:00+07:00
ORD005013,CUS001027,2026-07-01T10:25:00+07:00,completed,Can Tho,social,7036500.00,ecommerce_api,2026-07-01T10:25:00+07:00,2026-07-01T11:31:00+07:00
ORD005014,CUS001037,2026-07-01T18:50:00+07:00,completed,Nha Trang,social,7155000.00,ecommerce_api,2026-07-01T18:50:00+07:00,2026-07-01T20:30:00+07:00
ORD005015,CUS000442,2026-07-01T18:22:00+07:00,completed,Ho Chi Minh City,web,7137000.00,ecommerce_api,2026-07-01T18:22:00+07:00,2026-07-01T21:03:00+07:00
ORD005016,CUS000029,2026-07-01T15:45:00+07:00,shipped,Nha Trang,social,8892500.00,ecommerce_api,2026-07-01T15:45:00+07:00,2026-07-01T18:45:00+07:00
ORD005017,CUS000589,2026-07-01T19:55:00+07:00,completed,Ho Chi Minh City,web,1662500.00,ecommerce_api,2026-07-01T19:55:00+07:00,2026-07-01T22:11:00+07:00
ORD005018,CUS000866,2026-07-01T15:07:00+07:00,completed,Can Tho,web,5610000.00,ecommerce_api,2026-07-01T15:07:00+07:00,2026-07-01T17:02:00+07:00
ORD005019,CUS000753,2026-07-01T20:49:00+07:00,cancelled,Nha Trang,web,7682500.00,ecommerce_api,2026-07-01T20:49:00+07:00,2026-07-01T22:35:00+07:00
ORD005020,CUS000426,2026-07-01T19:33:00+07:00,completed,Hanoi,social,25895000.00,ecommerce_api,2026-07-01T19:33:00+07:00,2026-07-01T20:32:00+07:00
ORD005021,CUS000173,2026-07-01T22:28:00+07:00,confirmed,Bac Ninh,mobile_app,7794000.00,ecommerce_api,2026-07-01T22:28:00+07:00,2026-07-02T00:05:00+07:00
ORD005022,CUS000460,2026-07-01T11:28:00+07:00,completed,Nha Trang,mobile_app,2510000.00,ecommerce_api,2026-07-01T11:28:00+07:00,2026-07-01T12:02:00+07:00
ORD005023,CUS000586,2026-07-01T08:47:00+07:00,confirmed,Quang Ninh,web,8565500.00,ecommerce_api,2026-07-01T08:47:00+07:00,2026-07-01T10:28:00+07:00
ORD005024,CUS000462,2026-07-01T22:23:00+07:00,shipped,Bac Ninh,web,3308000.00,ecommerce_api,2026-07-01T22:23:00+07:00,2026-07-02T00:24:00+07:00
ORD005025,CUS000516,2026-07-01T08:21:00+07:00,shipped,Hue,mobile_app,18185000.00,ecommerce_api,2026-07-01T08:21:00+07:00,2026-07-01T08:57:00+07:00
ORD005026,CUS000407,2026-07-01T14:29:00+07:00,shipped,Da Nang,mobile_app,19192000.00,ecommerce_api,2026-07-01T14:29:00+07:00,2026-07-01T14:49:00+07:00
ORD005027,CUS000444,2026-07-01T19:27:00+07:00,cancelled,Ho Chi Minh City,mobile_app,12221000.00,ecommerce_api,2026-07-01T19:27:00+07:00,2026-07-01T22:10:00+07:00
ORD005028,CUS000381,2026-07-01T18:51:00+07:00,completed,Quang Ninh,social,18062500.00,ecommerce_api,2026-07-01T18:51:00+07:00,2026-07-01T19:16:00+07:00
ORD005029,CUS000900,2026-07-01T08:15:00+07:00,completed,Quang Ninh,social,25923000.00,ecommerce_api,2026-07-01T08:15:00+07:00,2026-07-01T09:31:00+07:00
ORD005030,CUS000302,2026-07-01T17:21:00+07:00,completed,Hanoi,web,14668000.00,ecommerce_api,2026-07-01T17:21:00+07:00,2026-07-01T17:47:00+07:00
ORD005031,CUS000951,2026-07-01T16:57:00+07:00,completed,Quang Ninh,social,3222000.00,ecommerce_api,2026-07-01T16:57:00+07:00,2026-07-01T17:49:00+07:00
ORD005032,CUS000731,2026-07-01T13:40:00+07:00,shipped,Can Tho,web,13233500.00,ecommerce_api,2026-07-01T13:40:00+07:00,2026-07-01T14:43:00+07:00
ORD005033,CUS000961,2026-07-01T09:27:00+07:00,completed,Vinh,social,3222000.00,ecommerce_api,2026-07-01T09:27:00+07:00,2026-07-01T09:29:00+07:00
ORD005034,CUS000364,2026-07-01T17:12:00+07:00,completed,Ho Chi Minh City,mobile_app,1180000.00,ecommerce_api,2026-07-01T17:12:00+07:00,2026-07-01T18:01:00+07:00
ORD005035,CUS000274,2026-07-01T17:45:00+07:00,pending,Ho Chi Minh City,mobile_app,8451000.00,ecommerce_api,2026-07-01T17:45:00+07:00,2026-07-01T18:26:00+07:00
ORD005036,CUS000267,2026-07-01T18:41:00+07:00,completed,Quang Ninh,web,17739500.00,ecommerce_api,2026-07-01T18:41:00+07:00,2026-07-01T20:51:00+07:00
ORD005037,CUS000103,2026-07-01T09:39:00+07:00,completed,Ho Chi Minh City,social,27325000.00,ecommerce_api,2026-07-01T09:39:00+07:00,2026-07-01T11:34:00+07:00
ORD005038,CUS000661,2026-07-01T22:11:00+07:00,completed,Hanoi,social,9950000.00,ecommerce_api,2026-07-01T22:11:00+07:00,2026-07-02T00:27:00+07:00
ORD005039,CUS000975,2026-07-01T21:26:00+07:00,completed,Can Tho,social,10378000.00,ecommerce_api,2026-07-01T21:26:00+07:00,2026-07-01T21:28:00+07:00
ORD005040,CUS000948,2026-07-01T08:15:00+07:00,shipped,Hai Phong,web,10010000.00,ecommerce_api,2026-07-01T08:15:00+07:00,2026-07-01T08:41:00+07:00
ORD005041,CUS000354,2026-07-01T16:32:00+07:00,completed,Hai Phong,social,15350000.00,ecommerce_api,2026-07-01T16:32:00+07:00,2026-07-01T17:32:00+07:00
ORD005042,CUS000831,2026-07-01T19:54:00+07:00,confirmed,Quang Ninh,mobile_app,7770000.00,ecommerce_api,2026-07-01T19:54:00+07:00,2026-07-01T21:31:00+07:00
ORD005043,CUS000645,2026-07-01T12:02:00+07:00,completed,Nha Trang,web,13820000.00,ecommerce_api,2026-07-01T12:02:00+07:00,2026-07-01T12:52:00+07:00
ORD005044,CUS000124,2026-07-01T20:47:00+07:00,shipped,Hue,mobile_app,7831000.00,ecommerce_api,2026-07-01T20:47:00+07:00,2026-07-01T20:59:00+07:00
ORD005045,CUS000846,2026-07-01T11:58:00+07:00,completed,Hai Phong,web,32749000.00,ecommerce_api,2026-07-01T11:58:00+07:00,2026-07-01T13:06:00+07:00
