product_id,category_id,product_name,unit_price,cost_price,status,source_system,created_at,updated_at
PRD000001,CAT018,Product 001 Note,-1000,700000.00,active,daily_file,2025-09-17T08:00:00+07:00,2026-07-01T08:01:00+07:00
PRD000002,CAT999,Product 002 Far,178500.00,111000.00,active,daily_file,2025-08-23T08:00:00+07:00,2026-07-01T08:02:00+07:00
PRD000004,CAT012,Product 003 Physical,6061000.00,4665000.00,active,daily_file,2025-06-20T08:00:00+07:00,2026-07-01T08:03:00+07:00
PRD000004,CAT019,Product 004 Degree,6080000.00,3623000.00,inactive,daily_file,2025-06-07T08:00:00+07:00,2026-07-01T08:04:00+07:00
PRD000005,CAT011,Product 005 Step,6468000.00,4950000.00,active,daily_file,2025-03-27T08:00:00+07:00,2026-07-01T08:05:00+07:00
PRD000006,CAT018,Product 006 Fear,2204000.00,1572000.00,active,daily_file,2025-02-22T08:00:00+07:00,2026-07-01T08:06:00+07:00
PRD000007,CAT013,Product 007 Member,6069000.00,4722000.00,discontinued,daily_file,2025-08-09T08:00:00+07:00,2026-07-01T08:07:00+07:00
PRD000008,CAT016,Product 008 New,1121000.00,706000.00,active,daily_file,2025-03-20T08:00:00+07:00,2026-07-01T08:08:00+07:00
PRD000009,CAT010,Product 009 Both,850500.00,608000.00,active,daily_file,2025-02-12T08:00:00+07:00,2026-07-01T08:09:00+07:00
PRD000010,CAT018,Product 010 Myself,3129000.00,1805000.00,active,daily_file,2025-06-05T08:00:00+07:00,2026-07-01T08:10:00+07:00
PRD000011,CAT012,Product 011 If,2394000.00,1403000.00,active,daily_file,2025-04-12T08:00:00+07:00,2026-07-01T08:11:00+07:00
PRD000012,CAT017,Product 012 Feeling,2023500.00,1704000.00,active,daily_file,2025-10-03T08:00:00+07:00,2026-07-01T08:12:00+07:00
PRD000013,CAT010,Product 013 Suddenly,2730000.00,2022000.00,active,daily_file,2025-09-11T08:00:00+07:00,2026-07-01T08:13:00+07:00
PRD000014,CAT013,Product 014 Daughter,1415500.00,1244000.00,active,daily_file,2025-04-23T08:00:00+07:00,2026-07-01T08:14:00+07:00
PRD000015,CAT016,Product 015 Whatever,6355500.00,4713000.00,active,daily_file,2025-08-31T08:00:00+07:00,2026-07-01T08:15:00+07:00
PRD000016,CAT019,Product 016 Manage,7391000.00,4991000.00,active,daily_file,2025-10-28T08:00:00+07:00,2026-07-01T08:16:00+07:00
PRD000017,CAT012,Product 017 Almost,4452000.00,2733000.00,active,daily_file,2025-05-30T08:00:00+07:00,2026-07-01T08:17:00+07:00
PRD000018,CAT018,Product 018 Few,1472500.00,1174000.00,active,daily_file,2025-02-18T08:00:00+07:00,2026-07-01T08:18:00+07:00
PRD000019,CAT010,Product 019 Character,3820000.00,2636000.00,active,daily_file,2025-01-27T08:00:00+07:00,2026-07-01T08:19:00+07:00
PRD000020,CAT016,Product 020 News,1073500.00,668000.00,active,daily_file,2025-10-28T08:00:00+07:00,2026-07-01T08:20:00+07:00
PRD000021,CAT016,Product 021 Look,2337000.00,1971000.00,inactive,daily_file,2025-02-25T08:00:00+07:00,2026-07-01T08:21:00+07:00
PRD000022,CAT006,Product 022 Model,6213000.00,4140000.00,active,daily_file,2025-10-13T08:00:00+07:00,2026-07-01T08:22:00+07:00
PRD000023,CAT012,Product 023 Attention,5329500.00,3460000.00,active,daily_file,2025-08-05T08:00:00+07:00,2026-07-01T08:23:00+07:00
PRD000024,CAT012,Product 024 Pretty,5529000.00,4401000.00,active,daily_file,2025-03-23T08:00:00+07:00,2026-07-01T08:24:00+07:00
PRD000025,CAT011,Product 025 Truth,1029000.00,595000.00,active,daily_file,2025-06-08T08:00:00+07:00,2026-07-01T08:25:00+07:00
PRD000026,CAT014,Product 026 Responsibility,7161000.00,5655000.00,active,daily_file,2025-02-23T08:00:00+07:00,2026-07-01T08:26:00+07:00
PRD000027,CAT011,Product 027 Account,5010000.00,4156000.00,active,daily_file,2025-05-17T08:00:00+07:00,2026-07-01T08:27:00+07:00
PRD000028,CAT012,Product 028 Blood,2360000.00,1983000.00,active,daily_file,2025-07-08T08:00:00+07:00,2026-07-01T08:28:00+07:00
PRD000029,CAT010,Product 029 Oil,3740000.00,2919000.00,active,daily_file,2025-02-23T08:00:00+07:00,2026-07-01T08:29:00+07:00
PRD000030,CAT010,Product 030 Picture,1407000.00,1128000.00,active,daily_file,2025-08-29T08:00:00+07:00,2026-07-01T08:30:00+07:00
