order_id,customer_id,order_date,status,shipping_city,channel,order_total,source_system,created_at,updated_at
ORD005001,CUS000834,2026-07-01T18:57:00+07:00,completed,Bac Ninh,mobile_app,19156500.00,ecommerce_api,2026-07-01T18:57:00+07:00,2026-07-01T20:41:00+07:00
ORD005002,CUS000635,2026-07-01T20:47:00+07:00,pending,Vinh,web,7092000.00,ecommerce_api,2026-07-01T20:47:00+07:00,2026-07-01T21:22:00+07:00
ORD005003,CUS000217,2026-07-01T14:44:00+07:00,completed,Quang Ninh,social,14082500.00,ecommerce_api,2026-07-01T14:44:00+07:00,2026-07-01T16:26:00+07:00
ORD005004,CUS000948,2026-07-01T18:51:00+07:00,confirmed,Hai Phong,social,21671000.00,ecommerce_api,2026-07-01T18:51:00+07:00,2026-07-01T20:12:00+07:00
ORD005005,CUS000522,2026-07-01T08:59:00+07:00,completed,Hue,mobile_app,13172000.00,ecommerce_api,2026-07-01T08:59:00+07:00,2026-07-01T11:10:00+07:00
ORD005006,CUS000313,2026-07-01T15:05:00+07:00,completed,Can Tho,web,15050000.00,ecommerce_api,2026-07-01T15:05:00+07:00,2026-07-01T15:51:00+07:00
ORD005007,CUS000058,2026-07-01T08:20:00+07:00,shipped,Ho Chi Minh City,social,17774000.00,ecommerce_api,2026-07-01T08:20:00+07:00,2026-07-01T09:16:00+07:00
ORD005008,CUS000532,2026-07-01T17:39:00+07:00,completed,Vinh,social,14760000.00,ecommerce_api,2026-07-01T17:39:00+07:00,2026-07-01T17:52:00+07:00
ORD005009,CUS000461,2026-07-01T12:32:00+07:00,completed,Da Nang,mobile_app,5010000.00,ecommerce_api,2026-07-01T12:32:00+07:00,2026-07-01T15:14:00+07:00
ORD005010,CUS000427,2026-07-01T08:44:00+07:00,confirmed,Da Nang,social,722000.00,ecommerce_api,2026-07-01T08:44:00+07:00,2026-07-01T10:30:00+07:00
ORD005011,CUS000013,2026-07-01T12:38:00+07:00,completed,Da Nang,social,3730000.00,ecommerce_api,2026-07-01T12:38:00+07:00,2026-07-01T13:53:00+07:00
ORD005012,CUS000653,2026-07-01T22:43:00+07:00,completed,Can Tho,social,17515000.00,ecommerce_api,2026-07-01T22:43:00+07:00,2026-07-01T22:58:00+07:00
