category_id,category_name,parent_category_id,created_at,updated_at
CAT001,Electronics,,2025-01-01T00:00:00+07:00,2025-01-01T00:00:00+07:00
CAT002,Home & Living,,2025-01-01T00:00:00+07:00,2025-01-01T00:00:00+07:00
CAT003,Beauty,,2025-01-01T00:00:00+07:00,2025-01-01T00:00:00+07:00
CAT004,Sports,,2025-01-01T00:00:00+07:00,2025-01-01T00:00:00+07:00
CAT005,Books,,2025-01-01T00:00:00+07:00,2025-01-01T00:00:00+07:00
CAT006,Phones,CAT001,2025-01-01T00:00:00+07:00,2025-01-01T00:00:00+07:00
CAT007,Computers,CAT001,2025-01-01T00:00:00+07:00,2025-01-01T00:00:00+07:00
CAT008,Accessories,CAT001,2025-01-01T00:00:00+07:00,2025-01-01T00:00:00+07:00
CAT009,Kitchen,CAT002,2025-01-01T00:00:00+07:00,2025-01-01T00:00:00+07:00
CAT010,Furniture,CAT002,2025-01-01T00:00:00+07:00,2025-01-01T00:00:00+07:00
CAT011,Home Decor,CAT002,2025-01-01T00:00:00+07:00,2025-01-01T00:00:00+07:00
CAT012,Skincare,CAT003,2025-01-01T00:00:00+07:00,2025-01-01T00:00:00+07:00
CAT013,Makeup,CAT003,2025-01-01T00:00:00+07:00,2025-01-01T00:00:00+07:00
CAT014,Personal Care,CAT003,2025-01-01T00:00:00+07:00,2025-01-01T00:00:00+07:00
CAT015,Fitness,CAT004,2025-01-01T00:00:00+07:00,2025-01-01T00:00:00+07:00
CAT016,Outdoor,CAT004,2025-01-01T00:00:00+07:00,2025-01-01T00:00:00+07:00
CAT017,Sportswear,CAT004,2025-01-01T00:00:00+07:00,2025-01-01T00:00:00+07:00
CAT018,Technology,CAT005,2025-01-01T00:00:00+07:00,2025-01-01T00:00:00+07:00
CAT019,Business,CAT005,2025-01-01T00:00:00+07:00,2025-01-01T00:00:00+07:00
CAT020,Lifestyle,CAT005,2025-01-01T00:00:00+07:00,2025-01-01T00:00:00+07:00
