order_item_id,order_id,product_id,quantity,unit_price,discount_amount,source_system,created_at,updated_at
ITM00000001,ORD000001,PRD000400,1,700000.00,0.00,seed,2026-06-12T12:35:00+07:00,2026-06-12T12:35:00+07:00
ITM00000002,ORD000002,PRD000046,1,3140000.00,471000.00,seed,2026-03-07T14:15:00+07:00,2026-03-07T14:15:00+07:00
ITM00000003,ORD000003,PRD000042,2,5120000.00,0.00,seed,2026-03-16T17:48:00+07:00,2026-03-16T17:48:00+07:00
ITM00000004,ORD000004,PRD000163,1,840000.00,42000.00,seed,2026-01-02T13:32:00+07:00,2026-01-02T13:32:00+07:00
ITM00000005,ORD000004,PRD000050,1,180000.00,0.00,seed,2026-01-02T13:32:00+07:00,2026-01-02T13:32:00+07:00
ITM00000006,ORD000005,PRD000046,1,3140000.00,157000.00,seed,2026-02-24T08:45:00+07:00,2026-02-24T08:45:00+07:00
ITM00000007,ORD000005,PRD000225,1,5090000.00,763500.00,seed,2026-02-24T08:45:00+07:00,2026-02-24T08:45:00+07:00
ITM00000008,ORD000005,PRD000206,1,3140000.00,157000.00,seed,2026-02-24T08:45:00+07:00,2026-02-24T08:45:00+07:00
ITM00000009,ORD000005,PRD000213,1,3610000.00,541500.00,seed,2026-02-24T08:45:00+07:00,2026-02-24T08:45:00+07:00
ITM00000010,ORD000006,PRD000098,1,4550000.00,227500.00,seed,2026-03-02T16:33:00+07:00,2026-03-02T16:33:00+07:00
ITM00000011,ORD000006,PRD000297,1,7950000.00,795000.00,seed,2026-03-02T16:33:00+07:00,2026-03-02T16:33:00+07:00
ITM00000012,ORD000007,PRD000229,1,3090000.00,0.00,seed,2026-03-10T22:54:00+07:00,2026-03-10T22:54:00+07:00
ITM00000013,ORD000007,PRD000240,2,6060000.00,0.00,seed,2026-03-10T22:54:00+07:00,2026-03-10T22:54:00+07:00
ITM00000014,ORD000008,PRD000054,1,5460000.00,546000.00,seed,2026-01-07T19:55:00+07:00,2026-01-07T19:55:00+07:00
ITM00000015,ORD000008,PRD000257,3,1310000.00,589500.00,seed,2026-01-07T19:55:00+07:00,2026-01-07T19:55:00+07:00
ITM00000016,ORD000009,PRD000337,1,6770000.00,0.00,seed,2026-03-27T16:13:00+07:00,2026-03-27T16:13:00+07:00
ITM00000017,ORD000009,PRD000038,1,5880000.00,0.00,seed,2026-03-27T16:13:00+07:00,2026-03-27T16:13:00+07:00
ITM00000018,ORD000009,PRD000217,1,4790000.00,0.00,seed,2026-03-27T16:13:00+07:00,2026-03-27T16:13:00+07:00
ITM00000019,ORD000009,PRD000073,1,7990000.00,0.00,seed,2026-03-27T16:13:00+07:00,2026-03-27T16:13:00+07:00
ITM00000020,ORD000010,PRD000470,2,130000.00,26000.00,seed,2026-05-30T15:03:00+07:00,2026-05-30T15:03:00+07:00
ITM00000021,ORD000010,PRD000109,1,2660000.00,133000.00,seed,2026-05-30T15:03:00+07:00,2026-05-30T15:03:00+07:00
ITM00000022,ORD000010,PRD000167,1,6250000.00,937500.00,seed,2026-05-30T15:03:00+07:00,2026-05-30T15:03:00+07:00
ITM00000023,ORD000011,PRD000203,1,7720000.00,0.00,seed,2026-01-30T18:07:00+07:00,2026-01-30T18:07:00+07:00
ITM00000024,ORD000012,PRD000148,1,7570000.00,378500.00,seed,2026-03-17T21:13:00+07:00,2026-03-17T21:13:00+07:00
ITM00000025,ORD000013,PRD000488,2,3470000.00,347000.00,seed,2026-01-30T14:52:00+07:00,2026-01-30T14:52:00+07:00
ITM00000026,ORD000013,PRD000165,1,4960000.00,248000.00,seed,2026-01-30T14:52:00+07:00,2026-01-30T14:52:00+07:00
ITM00000027,ORD000014,PRD000102,1,4870000.00,730500.00,seed,2026-01-24T16:32:00+07:00,2026-01-24T16:32:00+07:00
ITM00000028,ORD000014,PRD000264,2,5710000.00,0.00,seed,2026-01-24T16:32:00+07:00,2026-01-24T16:32:00+07:00
ITM00000029,ORD000014,PRD000494,1,6450000.00,645000.00,seed,2026-01-24T16:32:00+07:00,2026-01-24T16:32:00+07:00
ITM00000030,ORD000015,PRD000016,2,7780000.00,0.00,seed,2026-06-17T13:36:00+07:00,2026-06-17T13:36:00+07:00
