payment_id,order_id,payment_date,payment_method,payment_status,amount,source_system,created_at,updated_at
PAY000001,ORD000001,2026-06-12T15:03:00+07:00,card,pending,700000.00,seed,2026-06-12T15:03:00+07:00,2026-06-12T15:03:00+07:00
PAY000002,ORD000002,2026-03-08T00:28:00+07:00,cash,success,2669000.00,seed,2026-03-08T00:28:00+07:00,2026-03-08T00:28:00+07:00
PAY000003,ORD000003,2026-03-16T18:37:00+07:00,card,success,10240000.00,seed,2026-03-16T18:37:00+07:00,2026-03-16T18:37:00+07:00
PAY000004,ORD000004,2026-01-02T16:55:00+07:00,card,success,978000.00,seed,2026-01-02T16:55:00+07:00,2026-01-02T16:55:00+07:00
PAY000005,ORD000005,2026-02-24T14:56:00+07:00,card,success,13361000.00,seed,2026-02-24T14:56:00+07:00,2026-02-24T14:56:00+07:00
PAY000006,ORD000006,2026-03-03T00:38:00+07:00,e_wallet,success,11477500.00,seed,2026-03-03T00:38:00+07:00,2026-03-03T00:38:00+07:00
PAY000007,ORD000007,2026-03-11T10:31:00+07:00,e_wallet,failed,15210000.00,seed,2026-03-11T10:31:00+07:00,2026-03-11T10:31:00+07:00
PAY000008,ORD000008,2026-01-08T03:34:00+07:00,card,success,8254500.00,seed,2026-01-08T03:34:00+07:00,2026-01-08T03:34:00+07:00
PAY000009,ORD000009,2026-03-27T16:38:00+07:00,card,success,25430000.00,seed,2026-03-27T16:38:00+07:00,2026-03-27T16:38:00+07:00
PAY000010,ORD000010,2026-05-30T22:45:00+07:00,bank_transfer,success,8073500.00,seed,2026-05-30T22:45:00+07:00,2026-05-30T22:45:00+07:00
PAY000011,ORD000011,2026-01-31T00:17:00+07:00,bank_transfer,success,7720000.00,seed,2026-01-31T00:17:00+07:00,2026-01-31T00:17:00+07:00
PAY000012,ORD000012,2026-03-18T05:02:00+07:00,cash,success,7191500.00,seed,2026-03-18T05:02:00+07:00,2026-03-18T05:02:00+07:00
PAY000013,ORD000013,2026-01-30T14:56:00+07:00,cash,success,11305000.00,seed,2026-01-30T14:56:00+07:00,2026-01-30T14:56:00+07:00
PAY000014,ORD000014,2026-01-24T19:51:00+07:00,cash,success,21364500.00,seed,2026-01-24T19:51:00+07:00,2026-01-24T19:51:00+07:00
PAY000015,ORD000015,2026-06-17T20:58:00+07:00,bank_transfer,success,19958500.00,seed,2026-06-17T20:58:00+07:00,2026-06-17T20:58:00+07:00
PAY000016,ORD000016,2026-04-17T14:37:00+07:00,bank_transfer,success,6330000.00,seed,2026-04-17T14:37:00+07:00,2026-04-17T14:37:00+07:00
PAY000017,ORD000017,2026-06-01T07:14:00+07:00,e_wallet,success,16711000.00,seed,2026-06-01T07:14:00+07:00,2026-06-01T07:14:00+07:00
PAY000018,ORD000018,2026-04-20T07:48:00+07:00,card,success,5326000.00,seed,2026-04-20T07:48:00+07:00,2026-04-20T07:48:00+07:00
PAY000019,ORD000019,2026-01-01T12:25:00+07:00,card,success,26691000.00,seed,2026-01-01T12:25:00+07:00,2026-01-01T12:25:00+07:00
PAY000020,ORD000022,2026-02-23T13:03:00+07:00,cash,success,6660000.00,seed,2026-02-23T13:03:00+07:00,2026-02-23T13:03:00+07:00
PAY000021,ORD000023,2026-03-10T15:08:00+07:00,cash,success,2650500.00,seed,2026-03-10T15:08:00+07:00,2026-03-10T15:08:00+07:00
PAY000022,ORD000024,2026-03-24T14:56:00+07:00,cash,success,1611000.00,seed,2026-03-24T14:56:00+07:00,2026-03-24T14:56:00+07:00
PAY000023,ORD000025,2026-03-02T22:09:00+07:00,cash,success,12997000.00,seed,2026-03-02T22:09:00+07:00,2026-03-02T22:09:00+07:00
PAY000024,ORD000026,2026-05-28T09:09:00+07:00,cash,success,7627000.00,seed,2026-05-28T09:09:00+07:00,2026-05-28T09:09:00+07:00
PAY000025,ORD000027,2026-06-05T19:52:00+07:00,cash,success,33726000.00,seed,2026-06-05T19:52:00+07:00,2026-06-05T19:52:00+07:00
PAY000026,ORD000028,2026-02-13T15:42:00+07:00,cash,failed,4940000.00,seed,2026-02-13T15:42:00+07:00,2026-02-13T15:42:00+07:00
PAY000027,ORD000029,2026-03-25T15:11:00+07:00,card,success,3773500.00,seed,2026-03-25T15:11:00+07:00,2026-03-25T15:11:00+07:00
PAY000028,ORD000030,2026-06-28T20:30:00+07:00,e_wallet,success,17103500.00,seed,2026-06-28T20:30:00+07:00,2026-06-28T20:30:00+07:00
PAY000029,ORD000031,2026-06-20T00:55:00+07:00,bank_transfer,success,11732000.00,seed,2026-06-20T00:55:00+07:00,2026-06-20T00:55:00+07:00
PAY000030,ORD000032,2026-03-25T19:13:00+07:00,cash,success,22150000.00,seed,2026-03-25T19:13:00+07:00,2026-03-25T19:13:00+07:00
PAY000031,ORD000034,2026-02-18T21:52:00+07:00,card,success,9152500.00,seed,2026-02-18T21:52:00+07:00,2026-02-18T21:52:00+07:00
PAY000032,ORD000035,2026-05-23T05:59:00+07:00,bank_transfer,failed,6020000.00,seed,2026-05-23T05:59:00+07:00,2026-05-23T05:59:00+07:00
PAY000033,ORD000036,2026-02-05T06:36:00+07:00,card,success,13831500.00,seed,2026-02-05T06:36:00+07:00,2026-02-05T06:36:00+07:00
PAY000034,ORD000037,2026-05-06T22:54:00+07:00,card,success,30985000.00,seed,2026-05-06T22:54:00+07:00,2026-05-06T22:54:00+07:00
PAY000035,ORD000038,2026-02-21T05:04:00+07:00,card,pending,4643500.00,seed,2026-02-21T05:04:00+07:00,2026-02-21T05:04:00+07:00
PAY000036,ORD000039,2026-04-05T18:45:00+07:00,cash,success,3220000.00,seed,2026-04-05T18:45:00+07:00,2026-04-05T18:45:00+07:00
PAY000037,ORD000040,2026-04-23T20:17:00+07:00,e_wallet,success,884000.00,seed,2026-04-23T20:17:00+07:00,2026-04-23T20:17:00+07:00
PAY000038,ORD000042,2026-02-03T18:09:00+07:00,card,success,13050000.00,seed,2026-02-03T18:09:00+07:00,2026-02-03T18:09:00+07:00
PAY000039,ORD000043,2026-05-31T03:17:00+07:00,card,success,27431000.00,seed,2026-05-31T03:17:00+07:00,2026-05-31T03:17:00+07:00
