product_id,category_id,product_name,unit_price,cost_price,status,source_system,created_at,updated_at
PRD000001,CAT018,Product 001 Note,990000.00,700000.00,active,seed,2025-09-17T08:00:00+07:00,2025-09-17T08:00:00+07:00
PRD000002,CAT013,Product 002 Far,170000.00,111000.00,active,seed,2025-08-23T08:00:00+07:00,2025-08-23T08:00:00+07:00
PRD000003,CAT012,Product 003 Physical,6380000.00,4665000.00,active,seed,2025-06-20T08:00:00+07:00,2025-06-20T08:00:00+07:00
PRD000004,CAT019,Product 004 Degree,6080000.00,3623000.00,inactive,seed,2025-06-07T08:00:00+07:00,2025-06-07T08:00:00+07:00
PRD000005,CAT011,Product 005 Step,6160000.00,4950000.00,active,seed,2025-03-27T08:00:00+07:00,2025-03-27T08:00:00+07:00
PRD000006,CAT018,Product 006 Fear,2320000.00,1572000.00,active,seed,2025-02-22T08:00:00+07:00,2025-02-22T08:00:00+07:00
PRD000007,CAT013,Product 007 Member,5780000.00,4722000.00,discontinued,seed,2025-08-09T08:00:00+07:00,2025-08-09T08:00:00+07:00
PRD000008,CAT016,Product 008 New,1180000.00,706000.00,active,seed,2025-03-20T08:00:00+07:00,2025-03-20T08:00:00+07:00
PRD000009,CAT010,Product 009 Both,810000.00,608000.00,active,seed,2025-02-12T08:00:00+07:00,2025-02-12T08:00:00+07:00
PRD000010,CAT018,Product 010 Myself,2980000.00,1805000.00,active,seed,2025-06-05T08:00:00+07:00,2025-06-05T08:00:00+07:00
PRD000011,CAT012,Product 011 If,2520000.00,1403000.00,active,seed,2025-04-12T08:00:00+07:00,2025-04-12T08:00:00+07:00
PRD000012,CAT017,Product 012 Feeling,2130000.00,1704000.00,active,seed,2025-10-03T08:00:00+07:00,2025-10-03T08:00:00+07:00
PRD000013,CAT010,Product 013 Suddenly,2600000.00,2022000.00,active,seed,2025-09-11T08:00:00+07:00,2025-09-11T08:00:00+07:00
PRD000014,CAT013,Product 014 Daughter,1490000.00,1244000.00,active,seed,2025-04-23T08:00:00+07:00,2025-04-23T08:00:00+07:00
PRD000015,CAT016,Product 015 Whatever,6690000.00,4713000.00,active,seed,2025-08-31T08:00:00+07:00,2025-08-31T08:00:00+07:00
PRD000016,CAT019,Product 016 Manage,7780000.00,4991000.00,active,seed,2025-10-28T08:00:00+07:00,2025-10-28T08:00:00+07:00
PRD000017,CAT012,Product 017 Almost,4240000.00,2733000.00,active,seed,2025-05-30T08:00:00+07:00,2025-05-30T08:00:00+07:00
PRD000018,CAT018,Product 018 Few,1550000.00,1174000.00,active,seed,2025-02-18T08:00:00+07:00,2025-02-18T08:00:00+07:00
PRD000019,CAT010,Product 019 Character,3820000.00,2636000.00,active,seed,2025-01-27T08:00:00+07:00,2025-01-27T08:00:00+07:00
PRD000020,CAT016,Product 020 News,1130000.00,668000.00,active,seed,2025-10-28T08:00:00+07:00,2025-10-28T08:00:00+07:00
PRD000021,CAT016,Product 021 Look,2460000.00,1971000.00,inactive,seed,2025-02-25T08:00:00+07:00,2025-02-25T08:00:00+07:00
PRD000022,CAT006,Product 022 Model,6540000.00,4140000.00,active,seed,2025-10-13T08:00:00+07:00,2025-10-13T08:00:00+07:00
PRD000023,CAT012,Product 023 Attention,5610000.00,3460000.00,active,seed,2025-08-05T08:00:00+07:00,2025-08-05T08:00:00+07:00
PRD000024,CAT012,Product 024 Pretty,5820000.00,4401000.00,active,seed,2025-03-23T08:00:00+07:00,2025-03-23T08:00:00+07:00
PRD000025,CAT011,Product 025 Truth,980000.00,595000.00,active,seed,2025-06-08T08:00:00+07:00,2025-06-08T08:00:00+07:00
PRD000026,CAT014,Product 026 Responsibility,6820000.00,5655000.00,active,seed,2025-02-23T08:00:00+07:00,2025-02-23T08:00:00+07:00
PRD000027,CAT011,Product 027 Account,5010000.00,4156000.00,active,seed,2025-05-17T08:00:00+07:00,2025-05-17T08:00:00+07:00
PRD000028,CAT012,Product 028 Blood,2360000.00,1983000.00,active,seed,2025-07-08T08:00:00+07:00,2025-07-08T08:00:00+07:00
PRD000029,CAT010,Product 029 Oil,3740000.00,2919000.00,active,seed,2025-02-23T08:00:00+07:00,2025-02-23T08:00:00+07:00
PRD000030,CAT010,Product 030 Picture,1340000.00,1128000.00,active,seed,2025-08-29T08:00:00+07:00,2025-08-29T08:00:00+07:00
PRD000031,CAT017,Product 031 Audience,2510000.00,2085000.00,active,seed,2025-04-30T08:00:00+07:00,2025-04-30T08:00:00+07:00
PRD000032,CAT012,Product 032 Call,7120000.00,5943000.00,active,seed,2025-06-23T08:00:00+07:00,2025-06-23T08:00:00+07:00
PRD000033,CAT019,Product 033 Least,6110000.00,4582000.00,active,seed,2025-01-31T08:00:00+07:00,2025-01-31T08:00:00+07:00
PRD000034,CAT006,Product 034 Green,3310000.00,2280000.00,active,seed,2025-09-14T08:00:00+07:00,2025-09-14T08:00:00+07:00
PRD000035,CAT019,Product 035 Policy,1900000.00,1578000.00,active,seed,2025-05-14T08:00:00+07:00,2025-05-14T08:00:00+07:00
PRD000036,CAT007,Product 036 Quite,4290000.00,2828000.00,active,seed,2025-02-17T08:00:00+07:00,2025-02-17T08:00:00+07:00
PRD000037,CAT016,Product 037 First,240000.00,137000.00,inactive,seed,2025-06-06T08:00:00+07:00,2025-06-06T08:00:00+07:00
PRD000038,CAT009,Product 038 Should,5880000.00,4305000.00,active,seed,2025-09-08T08:00:00+07:00,2025-09-08T08:00:00+07:00
PRD000039,CAT014,Product 039 However,740000.00,484000.00,active,seed,2025-04-03T08:00:00+07:00,2025-04-03T08:00:00+07:00
PRD000040,CAT014,Product 040 Detail,6300000.00,4195000.00,active,seed,2025-03-10T08:00:00+07:00,2025-03-10T08:00:00+07:00
PRD000041,CAT010,Product 041 Rest,6370000.00,4963000.00,active,seed,2025-04-06T08:00:00+07:00,2025-04-06T08:00:00+07:00
PRD000042,CAT020,Product 042 Unit,5120000.00,2851000.00,active,seed,2025-09-25T08:00:00+07:00,2025-09-25T08:00:00+07:00
PRD000043,CAT013,Product 043 Grow,790000.00,553000.00,active,seed,2025-04-26T08:00:00+07:00,2025-04-26T08:00:00+07:00
PRD000044,CAT006,Product 044 Upon,900000.00,628000.00,active,seed,2025-08-11T08:00:00+07:00,2025-08-11T08:00:00+07:00
PRD000045,CAT008,Product 045 Cut,2790000.00,2072000.00,active,seed,2025-02-13T08:00:00+07:00,2025-02-13T08:00:00+07:00
PRD000046,CAT020,Product 046 College,3140000.00,2563000.00,active,seed,2025-06-11T08:00:00+07:00,2025-06-11T08:00:00+07:00
PRD000047,CAT011,Product 047 Month,5010000.00,3477000.00,active,seed,2025-01-11T08:00:00+07:00,2025-01-11T08:00:00+07:00
PRD000048,CAT020,Product 048 Would,4930000.00,3049000.00,active,seed,2025-10-28T08:00:00+07:00,2025-10-28T08:00:00+07:00
PRD000049,CAT018,Product 049 Sport,1000000.00,758000.00,active,seed,2025-08-02T08:00:00+07:00,2025-08-02T08:00:00+07:00
PRD000050,CAT011,Product 050 Get,180000.00,145000.00,active,seed,2025-07-17T08:00:00+07:00,2025-07-17T08:00:00+07:00
PRD000051,CAT007,Product 051 Themselves,5500000.00,3915000.00,active,seed,2025-01-13T08:00:00+07:00,2025-01-13T08:00:00+07:00
PRD000052,CAT011,Product 052 Certainly,970000.00,535000.00,active,seed,2025-06-26T08:00:00+07:00,2025-06-26T08:00:00+07:00
PRD000053,CAT019,Product 053 Hear,5630000.00,3926000.00,active,seed,2025-07-02T08:00:00+07:00,2025-07-02T08:00:00+07:00
PRD000054,CAT011,Product 054 Standard,5460000.00,4401000.00,active,seed,2025-10-01T08:00:00+07:00,2025-10-01T08:00:00+07:00
PRD000055,CAT011,Product 055 Never,5270000.00,4001000.00,active,seed,2025-09-06T08:00:00+07:00,2025-09-06T08:00:00+07:00
PRD000056,CAT007,Product 056 Newspaper,5750000.00,4053000.00,active,seed,2025-06-10T08:00:00+07:00,2025-06-10T08:00:00+07:00
PRD000057,CAT009,Product 057 Laugh,1740000.00,1254000.00,inactive,seed,2025-04-19T08:00:00+07:00,2025-04-19T08:00:00+07:00
PRD000058,CAT019,Product 058 Summer,4390000.00,2766000.00,active,seed,2025-06-02T08:00:00+07:00,2025-06-02T08:00:00+07:00
PRD000059,CAT008,Product 059 Ready,6330000.00,4966000.00,active,seed,2025-08-18T08:00:00+07:00,2025-08-18T08:00:00+07:00
PRD000060,CAT008,Product 060 Perhaps,850000.00,628000.00,active,seed,2025-07-29T08:00:00+07:00,2025-07-29T08:00:00+07:00
PRD000061,CAT011,Product 061 Big,4720000.00,2990000.00,discontinued,seed,2025-07-02T08:00:00+07:00,2025-07-02T08:00:00+07:00
PRD000062,CAT007,Product 062 Make,6770000.00,4840000.00,active,seed,2025-07-11T08:00:00+07:00,2025-07-11T08:00:00+07:00
PRD000063,CAT015,Product 063 Mr,7100000.00,4281000.00,active,seed,2025-08-04T08:00:00+07:00,2025-08-04T08:00:00+07:00
PRD000064,CAT014,Product 064 Tell,3580000.00,2820000.00,active,seed,2025-09-09T08:00:00+07:00,2025-09-09T08:00:00+07:00
PRD000065,CAT013,Product 065 Thank,1680000.00,1143000.00,active,seed,2025-03-31T08:00:00+07:00,2025-03-31T08:00:00+07:00
PRD000066,CAT013,Product 066 Financial,3090000.00,2300000.00,active,seed,2025-03-15T08:00:00+07:00,2025-03-15T08:00:00+07:00
PRD000067,CAT019,Product 067 Race,4190000.00,2794000.00,active,seed,2025-10-09T08:00:00+07:00,2025-10-09T08:00:00+07:00
